#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=9 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=48 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=48 rc=abr mbtree=1 bitrate=2400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4800 vbv_bufsize=9600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:25.69 aq:8.00 tex:347 mv:946 misc:6435 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:25.66 aq:11.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:25.69 aq:9.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:25.69 aq:11.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:25.69 aq:11.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:25.36 aq:20.33 tex:433855 mv:22362 misc:375 imb:3600 pmb:0 smb:0 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:25.65 aq:22.20 tex:71243 mv:31754 misc:315 imb:936 pmb:2664 smb:0 d:s ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:25.84 aq:21.10 tex:164510 mv:28218 misc:1376 imb:1804 pmb:1379 smb:417 d:- ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:25.83 aq:21.44 tex:83831 mv:36730 misc:1791 imb:1039 pmb:1530 smb:1031 d:s ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:25.83 aq:22.37 tex:51318 mv:31092 misc:2302 imb:691 pmb:1711 smb:1198 d:s ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:25.84 aq:22.05 tex:48705 mv:30638 misc:2609 imb:615 pmb:1708 smb:1277 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:21.84 aq:17.29 tex:343074 mv:34334 misc:504 imb:2041 pmb:1516 smb:43 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:25.80 aq:21.55 tex:82561 mv:36317 misc:1466 imb:951 pmb:1493 smb:1156 d:s ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:25.82 aq:22.21 tex:50254 mv:32854 misc:2180 imb:690 pmb:1754 smb:1156 d:s ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:25.78 aq:22.00 tex:50440 mv:32680 misc:2496 imb:611 pmb:1716 smb:1273 d:- ref:0 ;
in:17 out:15 type:P dur:2 cpbdur:2 q:24.47 aq:20.14 tex:199196 mv:29720 misc:1260 imb:1841 pmb:1470 smb:289 d:s ref:0 ;
in:15 out:16 type:B dur:2 cpbdur:2 q:24.43 aq:20.63 tex:87861 mv:35713 misc:2066 imb:788 pmb:1715 smb:1097 d:t ref:0 ;
in:16 out:17 type:b dur:2 cpbdur:2 q:24.45 aq:21.24 tex:73156 mv:34371 misc:2009 imb:626 pmb:1667 smb:1307 d:- ref:0 ;
in:19 out:18 type:P dur:2 cpbdur:2 q:26.19 aq:21.96 tex:146090 mv:26560 misc:1806 imb:1678 pmb:1225 smb:697 d:s ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:26.17 aq:23.43 tex:61839 mv:33619 misc:1822 imb:762 pmb:1477 smb:1361 d:t ref:0 ;
in:21 out:20 type:P dur:2 cpbdur:2 q:27.16 aq:23.13 tex:127283 mv:26138 misc:1795 imb:1681 pmb:1193 smb:726 d:s ref:0 ;
in:20 out:21 type:b dur:2 cpbdur:2 q:27.15 aq:24.10 tex:55551 mv:31941 misc:1660 imb:908 pmb:1252 smb:1440 d:t ref:0 ;
